student_id,age,gender,department,semester,income_bracket,internet_access,part_time_job,first_gen_student,prev_cgpa,attendance_pct,study_hours_per_week,assignment_completion_pct,midterm_score,num_backlogs,participation_score,library_hours_per_week,extracurricular_activities,sleep_hours_per_night,stress_level,teacher_interaction,final_cgpa,final_grade,performance
STU01069,19,Male,Mechanical,7,Middle,1,0,0,6.86,72.1,13.7,61.9,91.0,3,6.6,7.3,3,4.9,5.5,2,6.84,C,Pass
STU01070,18,Female,Electronics,6,Lower-Middle,1,0,1,7.68,67.3,14.1,51.8,97.6,1,8.7,3.7,1,6.7,2.1,1,7.95,B,Pass
STU01071,19,Female,Civil,4,Middle,1,0,0,4.68,74.2,5.5,71.5,56.3,1,5.9,3.5,4,8.0,3.0,0,5.79,D,Pass
STU01072,23,Male,Business,1,Lower-Middle,1,0,0,4.1,77.3,3.8,92.1,50.5,1,4.8,5.8,4,6.4,4.0,1,5.06,D,Pass
STU01073,19,Male,Civil,5,Middle,1,0,0,7.65,77.9,13.2,71.8,89.3,1,8.1,5.4,5,7.9,2.2,0,8.48,A,Pass
STU01074,22,Female,Computer Science,8,Middle,1,1,0,7.84,96.5,14.4,58.0,67.9,2,7.7,2.7,4,6.9,3.0,1,7.17,B,Pass
STU01075,21,Female,Mechanical,8,Lower-Middle,1,0,0,9.88,90.1,21.0,70.5,100.0,2,6.6,6.8,2,7.2,5.4,1,9.43,A+,Pass
STU01076,23,Female,Computer Science,6,Low,1,0,1,7.41,74.0,15.4,65.6,74.5,0,6.8,8.9,1,7.6,6.4,2,8.51,A,Pass
STU01077,18,Female,Computer Science,4,Middle,1,0,1,8.27,76.3,11.9,66.6,90.1,0,4.4,4.3,5,8.3,2.4,1,8.15,A,Pass
STU01078,22,Male,Business,5,High,1,0,1,6.95,87.8,10.6,65.4,64.8,1,4.8,6.2,0,7.6,3.8,1,6.88,C,Pass
STU01079,19,Male,Computer Science,5,Lower-Middle,1,0,0,7.59,71.7,14.2,65.5,73.9,2,6.7,3.8,3,7.9,3.6,0,7.21,B,Pass
STU01080,19,Male,Mechanical,1,Upper-Middle,1,1,1,9.37,92.7,18.9,63.2,100.0,0,8.3,6.1,2,5.3,2.9,0,9.46,A+,Pass
STU01081,21,Female,Mechanical,1,Upper-Middle,1,0,0,4.44,57.7,8.7,45.2,64.6,2,8.0,3.3,1,7.6,3.1,0,4.91,F,Fail
STU01082,18,Female,Civil,5,High,1,0,0,7.74,75.0,12.3,71.5,84.6,2,8.1,7.6,3,7.5,3.6,2,8.32,A,Pass
STU01083,18,Male,Mechanical,2,Upper-Middle,0,0,0,9.98,98.1,13.2,68.7,100.0,0,8.9,4.5,0,8.1,2.4,0,9.42,A+,Pass
STU01084,20,Male,Computer Science,5,Middle,1,0,0,7.57,74.8,9.1,70.3,77.0,1,8.6,0.9,3,5.8,4.8,2,6.54,C,Pass
STU01085,18,Male,Electronics,6,Upper-Middle,0,0,0,9.35,83.5,16.5,56.4,100.0,1,7.9,9.5,5,8.1,2.8,1,9.14,A+,Pass
STU01086,21,Male,Mechanical,5,High,0,0,0,6.38,81.0,10.8,86.2,65.2,0,6.5,4.6,4,6.1,1.0,1,7.24,B,Pass
STU01087,24,Female,Computer Science,3,Middle,1,0,0,7.16,88.6,8.0,65.4,84.8,1,8.8,4.4,4,9.3,1.0,1,7.63,B,Pass
STU01088,20,Female,Electronics,7,Lower-Middle,1,0,0,7.24,81.4,11.6,66.6,77.4,2,8.4,2.1,2,6.1,6.0,1,6.91,C,Pass
STU01089,20,Female,Computer Science,3,Low,1,0,1,4.32,56.3,7.5,57.1,47.4,1,5.8,3.6,3,5.8,5.5,1,4.6,F,Fail
STU01090,19,Male,Computer Science,3,Upper-Middle,1,1,0,5.68,64.3,4.9,52.9,59.6,2,4.4,2.5,4,5.9,1.0,1,5.09,D,Pass
STU01091,19,Male,Electronics,2,Upper-Middle,1,0,1,5.77,69.5,11.9,63.1,62.5,1,3.8,3.1,2,8.0,1.8,1,6.45,C,Pass
STU01092,18,Female,Computer Science,2,Low,1,1,0,8.27,83.9,12.4,76.1,92.3,5,8.5,5.7,2,6.6,4.6,2,7.17,B,Pass
STU01093,20,Female,Mechanical,8,Middle,1,1,0,8.33,73.8,17.4,73.9,90.2,0,7.4,3.7,5,7.9,2.2,1,9.46,A+,Pass
STU01094,19,Female,Civil,5,Middle,1,0,1,7.62,83.9,10.6,78.2,86.4,0,8.1,2.7,2,6.7,1.0,1,8.44,A,Pass
STU01095,21,Female,Business,3,Low,1,0,0,8.27,82.0,10.5,67.5,98.9,2,8.4,6.0,0,6.5,5.2,1,7.95,B,Pass
STU01096,19,Male,Computer Science,2,High,1,0,0,6.99,61.2,9.6,55.3,68.2,5,4.7,2.8,4,6.3,5.9,0,4.68,F,Fail
STU01097,23,Female,Computer Science,1,Lower-Middle,1,0,1,8.76,76.4,14.2,89.3,93.9,0,4.0,4.5,4,6.5,3.7,0,8.64,A,Pass
STU01098,23,Male,Computer Science,5,Low,1,0,0,7.21,72.0,10.3,72.7,82.6,2,7.4,4.2,1,5.6,6.3,0,7.09,B,Pass
STU01099,19,Male,Mechanical,6,Middle,1,1,1,7.28,75.8,10.9,56.3,74.9,3,8.6,3.7,0,5.6,2.9,1,6.74,C,Pass
STU01100,20,Male,Civil,7,Upper-Middle,1,1,0,6.85,89.4,11.7,74.6,81.5,2,8.0,5.5,4,5.0,3.7,1,6.67,C,Pass
STU01101,24,Male,Computer Science,4,Low,0,0,0,8.09,82.4,12.7,66.1,93.5,1,4.9,5.1,5,7.7,3.2,2,7.98,B,Pass
STU01102,24,Female,Business,5,Upper-Middle,1,0,0,6.65,66.5,10.1,58.6,84.2,0,6.7,1.8,4,8.5,1.0,2,7.08,B,Pass
STU01103,20,Male,Computer Science,4,Middle,0,0,0,8.47,84.1,8.8,58.2,80.3,1,5.5,2.5,1,7.2,4.6,0,7.64,B,Pass
STU01104,22,Male,Mechanical,3,Low,1,1,1,5.73,65.8,9.6,55.4,56.0,3,4.0,2.6,3,5.5,6.3,1,4.79,F,Fail
STU01105,24,Female,Civil,7,Lower-Middle,1,0,1,5.77,71.5,8.3,81.0,61.0,3,6.6,2.8,3,7.7,2.7,2,5.02,D,Pass
STU01106,23,Male,Business,4,Middle,1,0,0,8.09,85.1,18.0,76.9,84.7,0,7.5,6.6,0,7.0,4.6,1,8.91,A,Pass
STU01107,21,Male,Civil,3,Lower-Middle,1,1,0,7.08,85.1,8.4,46.1,80.3,2,7.1,4.0,2,7.2,1.2,1,6.15,C,Pass
STU01108,20,Female,Business,1,High,1,0,1,6.61,72.9,4.8,75.9,55.0,2,7.3,0.0,1,6.1,5.2,2,5.58,D,Pass
STU01109,18,Male,Electronics,4,Upper-Middle,1,1,0,8.36,94.9,15.6,87.8,100.0,1,6.6,7.2,1,5.3,5.3,0,9.6,A+,Pass
STU01110,23,Male,Business,7,High,1,0,0,6.41,79.3,10.9,64.0,85.3,3,7.1,4.1,4,7.7,2.2,2,7.19,B,Pass
STU01111,21,Male,Computer Science,8,Lower-Middle,1,0,0,6.94,69.0,7.9,68.6,73.1,0,5.7,1.7,5,7.0,4.7,1,6.73,C,Pass
STU01112,21,Male,Business,5,High,0,1,0,9.02,100.0,10.4,71.4,100.0,0,7.6,5.6,4,7.1,2.1,1,8.72,A,Pass
STU01113,20,Female,Mechanical,3,Middle,1,0,1,9.2,88.6,20.0,68.5,89.3,0,7.8,3.8,5,6.1,5.6,1,9.56,A+,Pass
STU01114,21,Female,Business,5,Lower-Middle,1,0,1,9.24,79.5,19.7,82.7,100.0,1,8.6,4.6,1,7.4,3.8,2,9.62,A+,Pass
STU01115,20,Female,Mechanical,7,Low,1,0,0,6.83,87.4,3.2,69.7,60.6,1,7.8,5.2,2,7.5,3.7,1,6.3,C,Pass
STU01116,24,Female,Mechanical,2,Low,1,0,0,8.8,100.0,13.2,61.3,93.1,1,8.9,5.2,3,5.5,3.3,1,8.52,A,Pass
STU01117,19,Female,Mechanical,3,Upper-Middle,1,0,0,5.97,69.6,13.9,61.1,53.9,2,6.5,4.1,0,7.0,5.0,2,5.69,D,Pass
STU01118,23,Male,Civil,4,Middle,1,0,0,6.02,66.1,7.6,58.9,70.2,0,7.0,3.4,5,5.0,6.7,2,6.24,C,Pass
STU01119,22,Female,Computer Science,3,Lower-Middle,1,0,0,4.14,59.3,3.8,67.6,34.7,2,7.5,1.9,3,8.5,5.1,2,3.95,F,Fail
STU01120,19,Female,Computer Science,5,Middle,1,0,1,9.37,92.6,14.9,75.7,100.0,0,10.0,5.5,0,5.7,2.8,0,9.62,A+,Pass
STU01121,23,Female,Computer Science,1,Lower-Middle,1,1,0,6.08,80.6,5.8,64.1,58.1,2,8.8,3.5,2,6.0,5.0,2,5.91,D,Pass
STU01122,20,Female,Computer Science,3,Middle,1,1,0,7.04,79.7,6.0,78.3,60.7,2,6.9,2.5,1,6.2,6.3,1,5.75,D,Pass
STU01123,23,Male,Business,4,Middle,0,0,0,6.02,70.9,12.2,63.7,62.7,1,8.3,5.2,2,6.0,3.5,1,6.66,C,Pass
STU01124,24,Male,Computer Science,2,Upper-Middle,1,0,0,8.1,92.5,7.7,68.0,84.3,3,8.4,3.1,5,8.8,4.3,2,7.61,B,Pass
STU01125,20,Male,Business,8,Upper-Middle,1,0,0,6.71,71.1,11.2,74.2,62.3,3,5.6,3.1,1,6.3,4.8,1,6.07,C,Pass
STU01126,19,Male,Electronics,6,Middle,1,0,1,5.5,75.8,10.7,67.4,57.3,1,7.6,2.5,4,6.7,2.1,1,6.4,C,Pass
STU01127,18,Female,Computer Science,1,Middle,1,1,0,7.77,76.6,8.2,66.0,86.7,2,5.1,5.4,0,5.5,4.1,1,6.99,C,Pass
STU01128,18,Female,Civil,8,Middle,1,1,1,5.34,70.1,4.9,63.9,82.6,3,7.4,3.4,4,5.5,2.3,2,5.55,D,Pass
STU01129,23,Male,Civil,2,Upper-Middle,1,0,0,6.11,69.6,12.9,51.1,77.1,3,9.1,6.4,1,6.9,3.1,1,6.8,C,Pass
STU01130,18,Male,Mechanical,3,Lower-Middle,1,0,0,4.46,61.9,7.5,51.8,43.5,2,7.3,3.3,0,7.7,2.9,1,5.17,D,Pass
STU01131,20,Male,Mechanical,5,Lower-Middle,1,0,0,5.35,63.7,5.8,58.3,54.1,3,8.0,3.1,0,7.2,3.6,1,5.16,D,Pass
STU01132,21,Male,Civil,7,Low,1,0,0,7.43,87.9,15.5,70.8,86.3,2,6.8,5.4,4,6.2,6.2,1,7.64,B,Pass
STU01133,20,Male,Computer Science,5,Middle,1,0,0,4.65,57.4,9.9,67.1,53.6,3,6.6,5.7,0,7.0,3.8,2,4.96,F,Fail
STU01134,21,Male,Business,8,Middle,0,1,0,5.27,60.5,8.4,58.4,69.3,2,7.1,3.0,1,4.8,4.6,0,5.19,D,Pass
STU01135,19,Female,Business,4,Upper-Middle,1,1,1,7.2,93.0,8.7,84.3,78.2,2,7.2,2.1,5,7.4,3.1,1,7.35,B,Pass
STU01136,22,Male,Civil,5,Lower-Middle,0,0,1,6.49,80.3,8.7,68.3,79.5,1,8.0,4.4,5,6.5,1.0,2,6.87,C,Pass
STU01137,21,Male,Computer Science,1,Middle,1,0,0,9.79,69.9,17.4,72.5,100.0,0,7.2,6.0,1,6.5,4.9,1,8.98,A,Pass
STU01138,18,Female,Civil,5,Upper-Middle,1,1,0,9.58,83.4,15.6,74.0,100.0,1,8.2,6.1,4,4.3,4.8,1,9.06,A+,Pass
STU01139,20,Male,Computer Science,4,Upper-Middle,1,0,0,6.07,55.9,12.0,53.7,69.3,6,4.2,5.7,2,6.5,5.0,0,4.85,F,Fail
STU01140,19,Female,Computer Science,6,Middle,1,0,0,7.92,72.0,8.3,63.1,71.6,0,8.5,2.6,1,8.7,1.9,2,7.85,B,Pass
STU01141,18,Female,Electronics,3,Middle,1,0,0,8.17,55.8,8.9,43.9,100.0,1,6.5,3.3,5,7.6,3.7,1,6.63,C,Pass
STU01142,19,Male,Mechanical,7,Lower-Middle,1,1,1,6.42,71.0,10.4,67.7,53.6,3,6.4,3.7,1,7.3,1.7,1,5.76,D,Pass
STU01143,22,Male,Business,8,High,1,0,0,5.26,57.1,6.0,53.9,49.9,1,5.7,4.7,0,7.1,4.0,1,4.92,F,Fail
STU01144,24,Male,Civil,3,Low,1,0,0,7.18,76.4,9.5,60.8,70.6,1,6.8,3.9,0,4.4,4.4,1,6.89,C,Pass
STU01145,20,Male,Civil,5,High,1,1,0,6.98,61.9,5.6,68.2,95.7,1,4.9,2.9,1,6.3,4.8,2,6.47,C,Pass
STU01146,23,Male,Electronics,2,Upper-Middle,1,1,0,6.63,73.8,10.3,51.8,91.5,0,8.5,2.4,4,6.4,2.1,2,7.18,B,Pass
STU01147,20,Female,Electronics,3,Middle,1,1,1,7.78,75.6,12.4,61.1,100.0,1,8.2,5.8,2,7.1,4.0,1,8.32,A,Pass
STU01148,22,Male,Electronics,6,Low,1,0,0,6.22,83.1,11.4,80.2,68.2,2,8.7,5.1,0,7.0,3.2,1,7.27,B,Pass
STU01149,20,Male,Business,5,Middle,1,0,0,5.7,79.8,8.6,71.0,88.2,1,9.3,2.3,5,6.2,1.5,2,7.03,B,Pass
STU01150,23,Male,Computer Science,7,Middle,1,1,1,7.34,83.0,11.3,69.3,84.0,2,7.4,7.3,0,6.1,5.5,1,7.23,B,Pass
STU01151,21,Female,Business,4,Lower-Middle,1,1,0,7.7,75.9,15.9,68.0,98.5,0,4.3,6.3,5,5.9,4.4,0,8.64,A,Pass
STU01152,19,Male,Mechanical,6,Upper-Middle,1,0,1,5.67,84.2,4.4,72.3,60.4,1,8.2,1.4,2,7.5,2.5,2,6.34,C,Pass
STU01153,23,Male,Electronics,5,High,1,0,0,8.41,69.6,15.4,46.6,93.3,1,7.4,5.6,0,6.9,4.8,1,8.36,A,Pass
STU01154,18,Male,Civil,6,Middle,1,1,0,4.9,53.3,1.8,48.5,46.8,1,8.0,1.0,4,5.2,6.1,1,3.96,F,Fail
STU01155,22,Female,Mechanical,3,Upper-Middle,1,1,1,6.45,71.6,7.4,79.1,66.3,1,8.2,5.5,5,6.8,2.8,0,6.35,C,Pass
STU01156,21,Male,Business,7,Low,1,0,0,6.86,92.4,7.1,68.8,77.5,4,7.8,4.5,0,6.3,4.1,2,6.81,C,Pass
STU01157,18,Female,Business,4,Middle,1,0,0,6.37,70.2,12.1,59.0,77.2,0,6.3,5.3,0,6.7,5.1,1,7.22,B,Pass
STU01158,18,Female,Electronics,5,Low,1,0,0,6.47,70.9,9.7,57.1,71.1,1,8.0,6.5,1,6.5,5.6,2,6.39,C,Pass
STU01159,22,Male,Electronics,1,Middle,1,0,0,9.63,76.6,16.2,65.1,100.0,0,2.8,4.3,4,7.2,4.9,2,8.79,A,Pass
STU01160,21,Female,Mechanical,8,High,0,0,1,6.09,78.0,5.9,61.0,34.1,0,7.3,3.9,4,5.6,5.2,2,5.39,D,Pass
STU01161,24,Male,Business,4,Upper-Middle,1,0,1,10.0,97.6,16.1,83.4,100.0,0,9.3,6.7,1,7.0,1.6,2,10.0,A+,Pass
STU01162,18,Female,Computer Science,1,Low,1,0,1,7.77,85.2,10.2,73.1,89.6,1,7.1,3.7,5,8.1,1.0,0,7.9,B,Pass
STU01163,18,Female,Mechanical,6,Middle,1,0,1,7.32,71.6,12.8,70.7,93.4,2,6.0,4.5,3,7.1,4.8,2,7.76,B,Pass
STU01164,21,Female,Mechanical,2,Middle,1,0,0,7.82,73.4,9.7,53.6,81.5,2,7.1,5.3,2,6.3,2.9,0,7.19,B,Pass
STU01165,20,Male,Civil,4,Middle,1,1,0,10.0,79.7,21.0,64.4,100.0,0,9.0,8.6,4,5.8,2.4,2,10.0,A+,Pass
STU01166,18,Female,Computer Science,6,Upper-Middle,1,0,0,5.91,70.2,3.8,59.9,69.7,2,7.2,0.0,3,7.3,4.4,1,5.8,D,Pass
STU01167,19,Male,Civil,1,Upper-Middle,1,0,0,5.74,60.1,6.1,60.6,76.1,1,5.0,5.5,5,7.6,3.7,1,6.03,C,Pass
STU01168,21,Male,Business,3,Middle,1,1,0,6.22,61.7,14.5,49.1,72.1,3,7.9,7.1,2,7.7,3.3,0,6.74,C,Pass
STU01169,18,Male,Computer Science,3,Middle,1,0,1,7.24,72.8,10.2,72.8,80.8,4,8.8,3.6,4,5.4,2.2,2,6.69,C,Pass
STU01170,22,Female,Computer Science,2,Lower-Middle,1,1,0,4.96,60.9,3.0,68.4,68.0,0,4.8,0.7,0,6.5,3.3,0,5.98,D,Pass
